conversion_certificate,deed_from_previous_owner,electricity_connection,electricity_connection_detail,encumberence_certificate,is_the_plot_free_of_any_legal_issues,revenue_document,road_available,road_available_detail,sewage_connection,sewage_connection_detail,title_deed,title_deed_detail,water_connection,water_connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_available,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
,,,,,,,,,,,,,,,,No,No,60 X 54,1,4,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,1,1,1,13.0,3240.0
,,,,,,,,,,,,,,,,No,No,,2,,Rajarhat,1.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,18000.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Birati,,30.0,1,1667.0,Resale,Residential Land / Plot,0,0,0,,1800.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Sardarhat,,45.0,1,3000.0,Resale,Residential Land / Plot,0,0,0,,1500.0
,,,,,,,,,,,,,,,,No,No,,0,10,New Alipore,2.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,7201.0
,,,,,,,,,,,,,,,,No,No,,0,2,Howrah,,100.0,1,1867.0,Resale,Residential Land / Plot,0,0,0,,5355.0
No,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,Yes,Water Board,,No,No,,0,Congo,Kabardanga,2.0,15.0,1,1154.0,Resale,Residential Land / Plot,0,0,0,6.0,1300.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,144 X 90,10,4,Joka,2.0,,0,,Resale,Residential Land / Plot,1,1,0,8.0,12960.0
,,,,,,,,,,,,,,,,No,No,49.2 X 32.8,7,5,Action Area 2B,1.0,,0,,Resale,Residential Land / Plot,1,1,0,12.0,1615.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Boral,,96.0,1,4445.0,Resale,Residential Land / Plot,0,0,0,,2160.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,Yes,Yes,429 X 402,0,5,Alipore,1.0,,0,,Resale,Residential Land / Plot,0,1,0,6.0,2880.0
,,,,,,,,,,,,,,,,No,No,,2,Congo,Sodepur,3.0,14.0,1,1000.0,Resale,Residential Land / Plot,0,1,0,12.0,1400.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Club House, Swimming Pool, Gymnasium, Reserved Parking",Yes,Yes,18 X 40,2,3,Rajarhat,2.0,12.0,1,1667.0,New Property,Residential Land / Plot,0,1,0,6.0,720.0
,,,,,,,,,,,,,,,,No,No,24 X 30,3,Congo,Action Area 3,1.0,8.5,1,1181.0,New Property,Residential Land / Plot,0,1,0,6.0,720.0
,,,,,,,,,,,,,,,,No,No,,3,Congo,Action Area 2,2.0,,0,,Resale,Residential Land / Plot,1,0,0,12.0,1620.0
,,,,,,,,,,,,,,,,No,No,,3,Congo,Joka,1.0,2.3,1,312.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Narendrapur Rajpur Sonarpur,2.0,100.0,1,2778.0,Resale,Residential Land / Plot,0,1,0,30.0,3600.0
,,,,,,,,,,,,,,,,Yes,No,45 X 46.67,0,4,New Alipore,1.0,,0,,Resale,Residential Land / Plot,0,1,0,9.0,2100.0
,,,,,,,,,,,,,,,,No,No,,2,4,Thakurpukur,,100.0,1,3221.0,Resale,Residential Land / Plot,0,0,0,,3105.0
,,,,,,,,,,,,,,,,No,No,,0,4,Subhasgram,,24.0,1,1450.0,Resale,Residential Land / Plot,0,0,0,,1655.0
,,,,,,,,,,,,,,,,Yes,Yes,42 X 36,1,5,Rajarhat,2.0,23.5,1,1554.0,New Property,Residential Land / Plot,1,1,0,30.0,1512.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Baguiati,2.0,,0,,Resale,Residential Land / Plot,0,0,0,30.0,620.0
,,,,,,,,,,,,,,,,Yes,No,,3,6,Thakurpukur,1.0,60.0,1,833.0,Resale,Residential Land / Plot,0,0,0,70.0,7201.0
,,,,,,,,,,,,,,,,Yes,No,,1,3,Purba Barisha,,42.0,1,2471.0,Resale,Residential Land / Plot,0,0,0,,1700.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Conveyance Deed,Yes,,,Yes,No,,7,5,Narendrapur Rajpur Sonarpur,1.0,600.0,1,1488.0,Resale,Residential Land / Plot,0,1,0,7.0,40320.0
,,,,,,,,,,,,,,,,No,No,,0,4,Kasba,,50.0,1,3472.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Barrackpore,,42.0,1,2917.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,2,1,Canning,,150.0,1,2447.0,Resale,Residential Land / Plot,0,0,0,,6129.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Madurdaha, Hussainpur",,,0,,Resale,Residential Land / Plot,0,0,0,,1800.0
,,,,,,,,,,,,,,,,No,No,,0,3,Bishnupur,1440.0,,0,,Resale,Residential Land / Plot,0,0,0,1440.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,3,Diamond Harbour Road,,,0,,Resale,Residential Land / Plot,0,0,0,,4500.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,No,21970 X 6.03,0,20,"Titagarh, Barrackpore",4.0,1600.0,1,1208.0,Resale,Residential Land / Plot,0,1,0,32.0,132500.0
No,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,,0,3,Maheshtala,2.0,160.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,5.0,11520.0
,,,,,,,,,,,,,,,,No,No,,2,,"Shibrampur, Shibrampur Mauza",2.0,12.0,1,833.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,3,,Action Area 3,1.0,118.0,1,5463.0,Resale,Residential Land / Plot,0,0,0,13.0,2160.0
No,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,70 X 314.29,0,2,"New Market Area, Taltala",1.0,500.0,1,2273.0,Resale,Residential Land / Plot,0,0,0,2.0,22000.0
,,,,,,,,,,,,,,,,No,No,,4,4,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,13.0,1620.0
,,,,,,,,,,,,,,,,No,No,,2,5,North 24 Parganas,,140.0,1,972.0,Resale,Residential Land / Plot,0,0,0,,14400.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Garia,2.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,19440.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,Congo,Bandel Chinsurah,4.0,50.0,1,631.0,Resale,Residential Land / Plot,0,0,0,4.0,7921.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,50 X 28.8,13,,Joka,2.0,7.8,1,542.0,New Property,Residential Land / Plot,1,1,0,7.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,Jessore Road,1.0,,0,,Resale,Residential Land / Plot,0,0,0,20.0,87120.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,No,No,53.7 X 26.8,5,1,Action Area 3,,22.0,1,1528.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,No,No,,0,4,Beleghata,,4000.0,1,3703.0,Resale,Residential Land / Plot,0,0,0,,108000.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,Yes,,0,,Sonarpur,3.0,,0,,Resale,Residential Land / Plot,0,0,0,3.0,15000.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,40 X 36,1,Congo,Joka,2.0,2.7,1,375.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
Yes,Yes,No,,No,Yes,,Yes,On Highway,No,,No,,No,,,No,Yes,45 X 32,0,4,Debrupayan Nagar,3.0,8.4,1,583.0,Resale,Residential Land / Plot,0,0,0,9.0,1440.0
,,,,,,,,,,,,,,,,No,No,24 X 30,17,,Joka,2.0,2.3,1,319.0,New Property,Residential Land / Plot,1,1,0,25.0,720.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Madhyamgram,1.0,27.0,1,1667.0,Resale,Residential Land / Plot,0,0,0,5.0,1440.0
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,2,4,Action Area 3,1.0,90.0,1,5556.0,Resale,Residential Land / Plot,0,0,0,13.0,1620.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Conveyance Deed,No,,"Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security",No,No,,3,,Anandapur,3.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,8850.0
,,,,,,,,,,,,,,,,Yes,No,139.53 X 129,9,1,Sukchar,3.0,,0,,Resale,Residential Land / Plot,0,0,0,15.0,18000.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Uttarpara Chinsurah,,,0,,Resale,Residential Land / Plot,0,0,0,,3600.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Kasba,1.0,900.0,1,2083.0,New Property,Residential Land / Plot,0,1,0,10.0,43200.0
,,,,,,,,,,,,,,,,No,No,,3,4,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,13.0,3229.0
,,,,,,,,,,,,,,,,Yes,No,45 X 44,0,5,Mahesh Colony,3.0,,0,,Resale,Residential Land / Plot,1,0,0,6.0,1980.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,,0,3,Habra,,,0,,Resale,Residential Land / Plot,0,0,0,,500.0
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,2,4,Action Area 3,2.0,125.0,1,5806.0,Resale,Residential Land / Plot,0,0,0,13.0,2153.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Palta, Barrackpore",2.0,36.0,1,1667.0,New Property,Residential Land / Plot,0,0,0,9.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,No,,0,,Action Area 3,,21.0,1,1458.0,Resale,Residential Land / Plot,1,1,1,,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Other,Yes,Borewell,,Yes,Yes,,1,5,Santipur,2.0,50.0,1,990.0,Resale,Residential Land / Plot,0,0,0,2.0,5050.0
,,,,,,,,,,,,,,,,No,No,,1,,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,12.0,2152.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,0,,"Chandannagar, Hooghly-Chinsurah",2.0,,0,,Resale,Residential Land / Plot,0,0,0,6.0,45.0
,,,,,,,,,,,,,,,,No,Yes,,6,,Piali,,5.0,1,694.0,Resale,Residential Land / Plot,0,0,0,,720.0
Yes,Yes,Yes,,No,No,Yes,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,Yes,,6,,Piali,,1.0,1,139.0,Resale,Residential Land / Plot,0,0,0,,720.0
,,,,,,,,,,,,,,,,No,No,53.7 X 53.7,0,4,"Ghola, Sodepur",3.0,19.0,1,660.0,Resale,Residential Land / Plot,0,1,0,8.0,2880.0
,,,,,,,,,,,,,,,,Yes,No,45 X 70,0,5,"Bosepukur, Kasba",1.0,35.0,1,972.0,Resale,Residential Land / Plot,0,0,0,20.0,3600.0
,,,,,,,,,,,,,,,,Yes,No,,4,4,Shyamnagar,1.0,26.0,1,1204.0,Resale,Residential Land / Plot,0,0,0,18.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,3,,Santoshpur,2.0,,0,,Resale,Residential Land / Plot,0,0,0,12.0,4320.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,Gariahat Road,2.0,2000.0,1,2771.0,Resale,Residential Land / Plot,0,1,0,120.0,72180.0
,,,,,,,,,,,,,,,,No,No,32 X 45,7,,Joka,1.0,5.0,1,347.0,New Property,Residential Land / Plot,1,1,0,5.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,Yes,102 X 37,0,4,Kanchrapara Loco,2.0,,0,,Resale,Residential Land / Plot,0,1,0,12.0,5620.0
,,,,,,,,,,,,,,,,Yes,Yes,35 X 41.14,2,2,Sonarpur Station Road,4.0,16.0,1,1111.0,New Property,Residential Land / Plot,1,1,0,4.0,1440.0
Yes,No,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,Yes,No,36 X 17,3,1,"Madurdaha, Hussainpur",,,0,,Resale,Residential Land / Plot,0,1,0,,5760.0
,,,,,,,,,,,,,,,,Yes,No,8050 X 1.07,8,1,Triangular Park,2.0,,0,,New Property,Residential Land / Plot,1,1,0,20.0,8641.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,Convent Road,2.0,,0,,Resale,Residential Land / Plot,0,1,0,30.0,16000.0
,,,,,,,,,,,,,,,,No,No,,0,,Sonarpur,,,0,,New Property,Residential Land / Plot,0,0,0,,54500.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium",Yes,No,,36,5,Rajarhat Main Road,2.0,125.0,1,87.0,Resale,Residential Land / Plot,1,1,1,16.0,144000.0
,,,,,,,,,,,,,,,,Yes,No,,0,18,New Town,1.0,6.0,1,171.0,New Property,Residential Land / Plot,0,0,0,20.0,3500.0
,,,,,,,,,,,,,,,,No,No,,0,,Salt Lake City,,,0,,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,No,No,,3,4,New Town Road,1.0,,0,,Resale,Residential Land / Plot,0,1,0,13.0,3229.0
,,,,,,,,,,,,,,,,No,No,,0,Congo,Joka,2.0,3.8,1,264.0,Resale,Residential Land / Plot,0,1,0,7.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,28 X 45.71,7,4,Purbasa,4.0,14.0,1,1094.0,New Property,Residential Land / Plot,0,1,0,4.0,1280.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Baruipur,,,0,,Resale,Residential Land / Plot,0,0,0,,19440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Barasat,,,0,,Resale,Residential Land / Plot,0,0,0,,159900.0
,,,,,,,,,,,,,,,,Yes,Yes,,3,5,Alipore,2.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,5040.0
,,,,,,,,,,,,,,,,No,No,32 X 56.25,4,5,Sonarpur Station Road,2.0,17.5,1,972.0,New Property,Residential Land / Plot,0,1,0,5.0,1800.0
,,,,,,,,,,,,,,,,No,No,55 X 78.55,5,5,Sonarpur Station Road,2.0,42.0,1,972.0,New Property,Residential Land / Plot,0,1,0,15.0,4320.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,No,,,No,No,,7,Congo,Basirhat,1.0,36.0,1,595.0,Resale,Residential Land / Plot,0,0,0,10.0,6050.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,564 X 429,1,4,"Madurdaha, Hussainpur",2.0,,0,,Resale,Residential Land / Plot,0,1,0,8.0,2160.0
,,,,,,,,,,,,,,,,Yes,Yes,40 X 36,2,4,Action Area 2E,2.0,22.6,1,1569.0,New Property,Residential Land / Plot,1,1,0,30.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Santoshree Pally, Thakurpukur",,40.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,,2880.0
,,,,,,,,,,,,,,,,No,No,,0,Congo,Rajpur Sonarpur,2.0,75.0,1,359.0,Resale,Residential Land / Plot,0,0,0,6.0,20880.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,2,Congo,Joka,1.0,6.0,1,417.0,Resale,Residential Land / Plot,0,0,0,20.0,1440.0
,,,,,,,,,,,,,,,"Gymnasium, Park, Banquet Hall, Kids Play Area",Yes,Yes,40 X 44.5,8,5,New Town,2.0,22.5,1,1264.0,New Property,Residential Land / Plot,1,1,0,30.0,1780.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,No,No,44 X 32.89,2,2,Subhasgram,1.0,13.5,1,933.0,Resale,Residential Land / Plot,0,0,0,3.0,1447.0
,,,,,,,,,,,,,,,,Yes,No,40 X 72,4,5,Sonarpur,2.0,28.0,1,972.0,New Property,Residential Land / Plot,0,1,0,5.0,2880.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Naihati,,99.0,1,1650.0,Resale,Residential Land / Plot,0,0,0,,6000.0
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,,4,,Joka,2.0,2.5,1,347.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,,5,Congo,Joka,2.0,1.9,1,257.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,6,,Joka,1.0,3.0,1,417.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,41.99 X 34.29,5,Congo,Action Area 3,3.0,21.4,1,1486.0,Resale,Residential Land / Plot,0,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,151 X 10.7,0,4,Action Area 2B,2.0,,0,,New Property,Residential Land / Plot,1,1,0,12.0,1615.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Nayabad,1.0,45.0,1,3125.0,Resale,Residential Land / Plot,0,1,0,6.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,"Madurdaha, Hussainpur",1.0,45.0,1,3125.0,Resale,Residential Land / Plot,0,1,0,5.0,1440.0
,,,,,,,,,,,,,,,,No,No,1250 X 1,7,5,Action Area 2D,2.0,24.0,1,1920.0,Resale,Residential Land / Plot,1,1,0,13.0,1250.0
,,,,,,,,,,,,,,,,Yes,Yes,10730 X 0.81,0,1,"Hindustan Park, Gariahat",2.0,,0,,Resale,Residential Land / Plot,1,1,0,20.0,8641.0
,,,,,,,,,,,,,,,,Yes,No,,2,4,New Alipore,2.0,500.0,1,1736.0,Resale,Residential Land / Plot,0,1,0,25.0,28800.0
,,,,,,,,,,,,,,,,No,Yes,,0,3,Ganga Nagar Mukundapur,1.0,25.0,1,1722.0,Resale,Residential Land / Plot,0,0,0,10.0,1452.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Mukundapur,,,0,,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,No,No,,0,4,Hooghly,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,No,No,,1,3,New Town,1.0,22.0,1,1528.0,Resale,Residential Land / Plot,0,0,0,18.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,26.8 X 134,1,5,Southern Avenue,3.0,,0,,Resale,Residential Land / Plot,0,1,0,193.0,3600.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Other,Yes,Water Board,,Yes,Yes,,3,,Joka,3.0,,0,,Resale,Residential Land / Plot,0,0,0,6.0,6480000.0
Yes,Yes,No,,Yes,Yes,Yes,Yes,Mud Road,Yes,Open,Yes,,No,,,Yes,No,,10,5,Rajpur Sonarpur,2.0,18.0,1,417.0,Resale,Residential Land / Plot,0,0,0,4.0,4320.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,1288 X 1342,1,4,Ruby Hospital Area,1.0,7.0,1,972.0,Resale,Residential Land / Plot,0,0,0,20.0,720.0
,,,,,,,,,,,,,,,,No,No,,1,,Rajarhat,3.0,198.0,1,5500.0,Resale,Residential Land / Plot,0,0,0,10.0,3600.0
,,,,,,,,,,,,,,,,No,No,,0,3,Kheyadah,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,"Madurdaha, Hussainpur",1.0,70.0,1,3241.0,Resale,Residential Land / Plot,0,1,0,6.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,4,4,Salt Lake City,,,0,,Resale,Residential Land / Plot,0,0,0,,10800.0
,,,,,,,,,,,,,,,,No,No,30 X 24,14,Congo,Bishnupur,1.0,2.5,1,347.0,Resale,Residential Land / Plot,1,0,0,10.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,,2,,Behala,1.0,,0,,Resale,Residential Land / Plot,0,1,0,6.0,2279.0
,,,,,,,,,,,,,,,,No,Yes,18 X 12,4,3,Action Area 3,3.0,20.0,1,1389.0,Resale,Residential Land / Plot,0,1,0,30.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,New Town,,10.0,1,909.0,Resale,Residential Land / Plot,0,0,0,,1100.0
,,,,,,,,,,,,,,,,Yes,Yes,134 X 32.2,1,4,Sonarpur,1.0,9.0,1,208.0,Resale,Residential Land / Plot,0,1,0,30.0,4320.0
,,,,,,,,,,,,,,,,Yes,No,,1,5,Action Area 2,2.0,,0,,Resale,Residential Land / Plot,0,0,0,12.0,3230.0
,,,,,,,,,,,,,,,,No,Yes,,0,3,Chetla,2.0,,0,,Resale,Residential Land / Plot,0,0,0,13.0,1800.0
,,,,,,,,,,,,,,,,No,No,,0,,Thakurpukur,,,0,,Resale,Residential Land / Plot,0,0,0,,10.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,0,4,Salt Lake City,2.0,,0,,Resale,Residential Land / Plot,0,0,0,30.0,2880.0
Yes,Yes,Yes,,Yes,Yes,,Yes,Mud Road,Yes,,Yes,Other,Yes,,,Yes,Yes,,0,4,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,0,0,2160.0,2160.0
,,,,,,,,,,,,,,,,No,No,,2,,New Town,1.0,23.0,1,1825.0,Resale,Residential Land / Plot,0,1,0,6.0,1260.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,30 X 48,7,,Joka,1.0,3.5,1,486.0,Resale,Residential Land / Plot,1,0,0,10.0,720.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Conveyance Deed,Yes,Borewell,,No,No,80 X 32.5,2,1,"Domjur, Howrah",,14.0,1,538.0,Resale,Residential Land / Plot,0,0,0,,2600.0
Yes,Yes,No,,Yes,Yes,Yes,Yes,Pucca Road,No,,Yes,,No,,,Yes,Yes,402 X 443,3,1,Kona,2.0,66.0,1,3055.0,Resale,Residential Land / Plot,0,0,0,3.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,Yes,Yes,,0,,Thakurpukur,,120.0,1,1667.0,Resale,Residential Land / Plot,0,0,0,,7201.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,Yes,Borewell,,No,Yes,,1,Congo,Rajarhat,2.0,150.0,1,2604.0,Resale,Residential Land / Plot,0,0,0,8.0,5761.0
Yes,No,Yes,,No,Yes,No,Yes,,Yes,,No,,Yes,,,Yes,No,,0,2,"Sakher Bazar, Purba Barisha",,,0,,Resale,Residential Land / Plot,0,0,0,,1320.0
No,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,Yes,Yes,33 X 17,6,1,Subhasgram,2.0,50.0,1,1170.0,Resale,Residential Land / Plot,1,0,0,8.0,4275.0
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,50 X 14.4,6,4,Joka,2.0,1.8,1,250.0,New Property,Residential Land / Plot,1,1,0,7.0,720.0
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,50 X 21.6,7,4,Joka,2.0,3.0,1,278.0,New Property,Residential Land / Plot,1,1,0,7.0,1080.0
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,50 X 14.4,8,4,Joka,2.0,2.1,1,292.0,New Property,Residential Land / Plot,1,1,0,7.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 14.4,12,4,Joka,2.0,2.0,1,278.0,New Property,Residential Land / Plot,1,1,0,7.0,720.0
,,,,,,,,,,,,,,,,No,No,,0,,Rajpur Sonarpur,,18.0,1,417.0,Resale,Residential Land / Plot,0,1,0,,4320.0
,,,,,,,,,,,,,,,,No,No,,0,,Sarsuna,,72.0,1,3139.0,Resale,Residential Land / Plot,0,0,0,,2294.0
,,,,,,,,,,,,,,,,Yes,No,66 X 165,4,1,Badkulla,,,0,,New Property,Residential Land / Plot,0,1,0,,97200.0
Yes,Yes,No,,No,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,1610 X 805,8,8,Ramchandrapur Narendrapur,4.0,27.0,1,1250.0,Resale,Residential Land / Plot,0,0,0,10.0,2160.0
,,,,,,,,,,,,,,,,No,No,,2,4,Action Area 2,2.0,,0,,Resale,Residential Land / Plot,1,1,1,13.0,3240.0
,,,,,,,,,,,,,,,,No,No,,7,Congo,Joka,1.0,5.8,1,266.0,Resale,Residential Land / Plot,0,0,0,20.0,2160.0
,,,,,,,,,,,,,,,,No,No,,2,4,Jamandapara,4.0,16.0,1,1111.0,Resale,Residential Land / Plot,0,0,0,5.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Garia Main Road,2.0,140.0,1,3889.0,Resale,Residential Land / Plot,0,0,0,57.0,3600.0
,,,,,,,,,,,,,,,,No,No,,0,3,Garia Station Road,,130.0,1,1806.0,Resale,Residential Land / Plot,0,0,0,,7200.0
